name,definition,SPA, SPB, SPD, SPE, SPF, EFA, EFB, EFC, EFD
# of  NSs  who  have an active VNRBP programme which is promoting and recruiting donors  ,,,,,,,,,,
"# of branches supported through ""Red Ready"" Initiative to be ready to respond to disasters",,,,,,,,,,
# of communities with community resilience plans,,,,,,,,,,
# of consultations/studies/inputs contributed to Regional policy level,,,,,,,,,,
"# of countries that formally recognize the National Society’s auxiliary role in the area of public health, within relevant law, policy and/or agreements",,,,,,,,,,
# of donors and partners providing regular or unearmarked funding to the IFRC ,,,,,,,,,,
# of funding mechanisms activated in response to crises and disasters,,,,,,,,,,
# of global initiatives implemented that have originated in the intergenerational dialogue space,,,,,,,,,,
# of households supported in food production in urban and peri-urban areas,,,,,,,,,,
# of IFRC PNG CD operational plan consulted with Host National Society and partners,,,,,,,,,,
"# of IFRC staff trained on the mitigation of fraud and corruption, sexual harassment, exploitation and abuse via Learning Platform",,,,,,,,,,
# of National Societies active in immunisation,,,,,,,,,,
# of National Societies have improved volunteer retention rate,,,,,,,,,,
# of National Societies participating in campaigns ,,,,,,,,,,
# of National Societies Prepared and ready for epidemics  & pandemics,,,,,,,,,,
# of National Societies preparedness and readiness to cholera response,,,,,,,,,,
"# of National Societies that cover health, accident and death compensation for all of their volunteers",,,,,,,,,,
"# of National Societies that have a dedicated role for protection, gender and inclusion issues ",,,,,,,,,,
# of National Societies that increase the number of civil society networks/coalitions in which they are actively participating to achieve humanitarian or development goals ,,,,,,,,,,
# of National Society has a feedback mechanism across programmes and services,,,,,,,,,,
# of new partnerships in the Migration area,,,,,,,,,,
# of NS branches with youth and/or RCRC educational program,,,,,,,,,,
# of NS headquarters and branch plans based on OCAC/BOCA analysis,,,,,,,,,,
# of NS implementing Cash Voucher Assistance,,,,,,,,,,
# of NS implementing integrated resilience programming to high-risk communities,,,,,,,,,,
# Of NS that has a clear health strategy for public health in emergencies,,,,,,,,,,
# of NS utilizing PER Mechanism within EA and DREF operations lessons learned workshops and reviews ,,,,,,,,,,
# of NS who have a signed agreement with educational authorities or other relevant stakeholders in the education sector,,,,,,,,,,
"# of NS who report that they have integrated and institutionalised the Movement-wide commitments for Community Engagement and Accountability in their policies, operations, and procedures (with clear benchmarks).",,,,,,,,,,
"# of NS who report that they have integrated and institutionalized Community Engagement and Accountability in their policies, operations, and procedures (with clear benchmarks)",,,,,,,,,,
# of NS with Program/operation environmental risk analysis ,,,,,,,,,,
# of NS with the capacity to deliver cash assistance in disaster response and recovery.,,,,,,,,,,
# of NSs that have a PSEA policy and action plan to enforce prevention and support survivors,,,,,,,,,,
# of NSs who have staff and/or volunteers qualified to deliver PFA to their communities ,,,,,,,,,,
# of people assessed for protections gender and special needs as part of emergency operations ,,,,,,,,,,
# of people better protected from heat in cities and towns,,,,,,,,,,
# of people better protected from heat in cities and towns ,,,,,,,,,,
# of people reached by cash and/or voucher assistance for zero hunger-related activities,,,,,,,,,,
# of people reached by training in the new generation of leaders programme,,,,,,,,,,
# of people reached by zero hunger-related initiatives ,,,,,,,,,,
# of people supported to start or improve their income generation activities,,,,,,,,,,
# of people trained by National Societies in first aid through Commercial First Aid,,,,,,,,,,
# of refernce centres actively involved in peer to peer support to the IFRC network in close copperation with the IFRC Secretariat,,,,,,,,,,
# of supported branches with concluded baseline assessments (following PER approach),,,,,,,,,,
# of trees are planted and protected in Africa to address climate change,,,,,,,,,,
# of trees planted in 2022,,,,,,,,,,
"# of women engaged in the DM Network, FLARE and in PERCI mentoring program",,,,,,,,,,
# of youth and volunteers and staff trained in climate action and adaptation,,,,,,,,,,
#of migrants and displaced persons reached with services for assistance and protection. ,,,,,,,,,,
"#of NS develop digital transformation strategies, in line with the 33rd IC digital pledge and data protection commitments in 33rd IC Resolution on Restoring Family Link ",,,,,,,,,,
% of emergency operations meeting PGI in emergencies minimum standards,,,,,,,,,,
% of NS regularly updating PALM (Pacific Logistics tracking online systems),,,,,,,,,,
% of reports submitted on time,,,,,,,,,,
%of National Societies with revised statutes according to Guidance for National Society Statutes,,,,,,,,,,
"Amount of funds directed to NS through funding mechanisms such as National Society Investment Alliance, Capacity Building Fund, Empress Shaken Fund",,,,,,,,,,
Does your NS have a DM Policy and Strategy in place?,,,,,,,,,,
Does your NS have contingency plans for 3 identified main hazards?,,,,,,,,,,
Funding mobilized to support readiness and preparedness plans,,,,,,,,,,
Funds mobilized through the IFRC for National Society responses to crisis and disasters for imminent crisis and/or early action,,,,,,,,,,
of people reached by National Societies with immunization services,,,,,,,,,,
"Number of people on the National Society
Governing Board",,,,,,,,,,
Number of Local Units,,,,,,,,,,
Number of People Volunteering ,,,,,,,,,,
Number of volunteers covered by accident insurance,,,,,,,,,,
Number of volunteer deaths on duty,,,,,,,,,,
Number of paid staff,,,,,,,,,,
Number of paid staff covered by accident insurance,,,,,,,,,,
Number of paid staff deaths on duty,,,,,,,,,,
Digital Maturity Assessment: level of maturity for section 'People',,,,,,,,,,
Digital Maturity Assessment: level of maturity for section 'Process',,,,,,,,,,
Digital Maturity Assessment: level of maturity for section 'Technology',,,,,,,,,,
Total income,,,,,,,,,,
Total expenditure,,,,,,,,,,
Income from Home Government,,,,,,,,,,
Income from Foreign Government,,,,,,,,,,
Income from Individuals,,,,,,,,,,
Income from Corporations,,,,,,,,,,
Income from Foundations,,,,,,,,,,
Income from UN Agencies & other Multilateral Agencies,,,,,,,,,,
Income from Pooled funds,,,,,,,,,,
Income from Non-governmental organizations,,,,,,,,,,
Income from Service income,,,,,,,,,,
Income from Income-generating activity,,,,,,,,,,
Income from Other National Society,,,,,,,,,,
Income from IFRC,,,,,,,,,,
Income from ICRC,,,,,,,,,,
Income from Other Source,,,,,,,,,,
"National Societies supported with human, financial or in-kind resources",,,,,,,,,,
"National Societies received support from with human, financial or in-kind resources",,,,,,,,,,
Number of people donating blood,,,,,,,,,,
Number of people trained in First Aid (any level),,,,,,,,,,
Number of people reached - Disaster response and early recovery,,,,,,,,,,
Number of people reached - Long term services and development programmes,,,,,,,,,,
Number of people reached - Disaster Risk Reduction,,,,,,,,,,
Number of people reached - Shelter,,,,,,,,,,
Number of people reached - Livelihoods,,,,,,,,,,
Number of people reached - Health,,,,,,,,,,
Number of people reached - Psychosocial and Mental services,,,,,,,,,,
Number of people reached - Immunisation services,,,,,,,,,,
"Number of people reached - Water, Sanitation and Hygiene",,,,,,,,,,
Number of people reached - Migration,,,,,,,,,,
Number of people reached - activities to address rising climate risks,,,,,,,,,,
"Number of people reached - Heatwave risk reduction, preparedness or response",,,,,,,,,,
Number of people reached - Cash Transfer Programming,,,,,,,,,,
"Number of people reached - Protection, gender and inclusion programmes",,,,,,,,,,
Number of people reached - RCRC educational programmes,,,,,,,,,,
# of people covered by formal disaster preparedness and anticipatory action plans,"Interventions at community, local and national level aimed at  ensure communities are better prepared to effectively anticipate and respond to multiple shocks.",,,,,,,,,
# of people reached through cash transfers and vouchers (CVA),same as indicator R4.04. Confirmed by focal point.,,,,,,,,,
# of people reached by epidemic and pandemic preparedness and response activities,"This outcome indicator measures the number of community members, National Society staff/volunteers and other stakeholders reached with epidemic preparedness and response activities including water/sanitation/hygiene services, health promotion activities, community mobilization during immunization campaigns, education activities with schools, and other capacity strengthening activities related to epidemic preparedness and response targeting a range of key stakeholders.",,,,,,,,,
# of people covered by a functional early warning system (KRI),"Early warning system is set of capacities needed to generate and disseminate timely and meaningful warning information to enable individuals, communities and organizations threatened by a hazard to prepare and to act appropriately and in sufficient time to reduce the possibility of harm or loss. A warning is the message (using signs, words, sounds or images) that announces an imminent danger. Functional end to end warning system connects those who need to hear messages to others who compile and track the hazard information.",,,,,,,,,
# of people participating in interventions that enhance their capacity to face shocks and stresses (KRI),"According to DG ECHO Definition (KRI): Interventions at household and local level aimed at concretely strengthen the capacity. Information or advocacy activities as well as trainings are not eligible unless they will result or are directly linked to concrete action (e.g. evacuation plan developed). Examples: number of people who can use a protective shelter, etc.; number of people covered/included in a new contingency plan. This is an indicator linked to Community and local level action",,,,,,,,,
# of people covered by approved Early Action Protocols (EAPs) for the FbA by the DREF and by DREF allocations for imminent crises ,"The Early Action Protocol is the plan that guides timely implementation of early action activities by National Societies. EAPs are used to apply for funding from the IFRC Forecast based Action by the DREF. DREF for imminent crisis allocations, are DREF request that are processed and completed before the impact (or the peak) of an event. ",,,,,,,,,
# of people whose livelihoods and assets are protected from shocks and stresses (KRI),"Livelihoods comprise the capabilities, assets and activities required for generating income and securing means of living. The focus here is on activities related to production and income generation.
Assets focus on “productive” assets. Productive assets are physical resources (e.g. tools, equipment, female or draft animals, agricultural land, rental properties, etc.) that increase the household’s labor productivity and production thereby enabling it to increase its income, food security and other livelihood outcomes over time.
Shocks are “external short-term deviations from long term trends that have substantial negative effects on people’s current state of well-being, level of assets, livelihoods, safety or their ability to withstand future shocks”. Shocks can be slow onset like drought, or relatively rapid onset like flooding, disease outbreak, or market fluctuations. Stresses are “long-term trends or pressures that undermine the stability of a system and increase vulnerability within it”. Stresses could include factors such as population pressure, climate variability, chronic poverty, persistent discrimination, and protracted crises like intergroup conflict. 
Examples of activities related to climate-smart livelihoods:
1.	Supporting smallholder farmers to access and plant drought tolerant and shorter duration crop varieties (short adaptation through climate risk management)
2.	Support climate smart farming/production practices – e.g. intercropping, soil and water management through for example cover crops or mulching, trenching, vegetation barriers, organic farming, key-hold gardens
3.	Responsible harvesting of natural products
4.	Supporting integrated production systems – crops-forests components (agrosilvicultural systems), forests-livestock components (silvopastoral systems), and crops-forest-livestock components (agrosilvopastoral systems). 
5.	Supporting micro and small businesses or smallholder farmers to access finance and knowledge for the adoption of clean and appropriate technologies (e.g. solar panels and dryers, drip irrigation, water efficient processing equipment, etc.) that increase climate resiliency and preserve ecosystems upon which rural livelihoods depend
6.	Facilitation of access to climate-smart advisory and index-based microinsurance
7.	Awareness-raising/sensitization on or skills development in climate smart production and income-generation
8.	Complementing activities around the adoption of climate-smart production and income-generating practices by socioeconomically vulnerable households with anticipatory, seasonal or one-off safety net (e.g. cash transfers)",,,,,,,,,
# of National Societies with coordinated early action and contingency plans with DRM authorities ,"Anticipatory actions are a set of actions taken to prevent or mitigate potential disaster impacts before a shock or before acute impacts are felt. The actions are carried out in anticipation of a hazard impact and based on a prediction of how the event will unfold. Anticipatory actions should not be a substitute for longer-term investment in risk reduction and should aim to strengthen people’s capacity to manage risks.
Contingency planning takes please when there is a specific threat or hazard identified. A contingency plan sets out the scale of the response, the resources needed, and the practical management tasks that will be needed for possible scenarios within a specific context. This planning can be found in NS multi-hazard response plans, with hazard specific annexes, or several hazard specific contingency plans to cover high-risk disaster events.
A NS role and planned response should be recognized by respective authorities and governments.",,,,,,,,,
# of National Societies adopting greening practices to improve the environmental sustainability of their operations,"Greening practices has no firm definition, however it covers a number of features that indicate environmental sustainability (E.S.) has been improved in some way. This includes: formal commitment of the NS to E.S. through development of an environmental policy, or inclusion of E.S. in their long-term Strategy; NS has developed an environmental management plan, or measured their environmental and carbon footprints; changes to supply chain management or other logistics functions that reduce environmental footprint (reducing carbon emissions, waste, improved sustainability of emergency stocks etc); NS has developed capacity to assess environmental risks of their programmes and operations (environmental screening) and/or piloted environmental screening; sectoral interventions have integrated use of clean energy, improved waste management, protection of local natural resources.",,,,,,,,,
% of community members who know key practices to prevent epidemic disease spread,"Through programme activities 2.1, 2.2 and 2.3, community members learn how to prevent the spread of priority diseases. Knowledge Attitudes and Practices (KAP) surveys organised at the start and at the end of the programme will assess the extent to which target communities are able to identify key practices to prevent the spread of priority diseases in their country. ",,,,,,,,,
"# of people reached with epidemic preparedness, and health literacy information at community level","Through programme activities 2.1, 2.2 and 2.3, the National Society organises activities designed to share information about epidemic preparedness with targeted communities. These can for instance include household visits, group information sessions or mobile cinema. Activities can target specific groups, such as families with young children requiring immunization, school children and teachers, traditional healers, religious leaders, animal health workers, the media, community-based organisations in charge of water and sanitation, or private sector actors.  
Do not include people reached through radio/TV programmes and social media who can only be estimated. Double-counting is likely to happen as the same people can take part in more than one activity.",,,,,,,,,
"# of people reached by National Societies with contextually appropriate water, sanitation and hygiene services","Water services refer to activities that increase the quantity and quality of water for supported populations. It includes activities such as establishment or rehabilitation of water supply infrastructure, distribution of safe water or the provision of household water treatment materials accompanied by training in their use and post distribution monitoring.  
Sanitation services refer to activities that increase the quantity and quality of excreta disposal facilities for supported populations. It includes activities such as construction or rehabilitation of toilets that are female and disability friendly and the management of the human waste chain (storage, removal, transport and disposal). Sanitation services also includes environmental sanitation activities such as drainage, solid waste management and vector control.
Hygiene services refer to promotion of improved hygiene behaviour and the provision of materials for improved hygiene. It includes activities such as hygiene promotion campaigns, encouragement of proper use of water and sanitation facilities and distribution of hygiene materials, including materials for menstrual hygiene management.",,,,,,,,,
% of community-based surveillance (CBS) alerts responded to within 24 hours ,"Community-based surveillance (or CBS) is the systematic detection and reporting of public health risks with epidemic potential by trained RCRC volunteers. CBS is a different approach than contact tracing/ line listing, rumour tracking, PoE, community engagement or call centers. The purpose of CBS is to improve early detection of health risks within the communities they emerge, facilitating a more rapid and targeted response. Timliness of the system is essential. The proportion of alerts responded to within 24 hours gives an indication on the timeliness of the system.",,,,,,,,,
# of Red Cross Red Crescent health facilities (with their attached population reached) that have conducted an infection prevention and control (IPC) assessment,"Through programme activity 2.6, the National Society increases its capacity to prepare for and respond to health emergencies. This includes strengthening the health services it manages. 

Conducting infection prevention and control (IPC) assessments of National Society managed health facilities (hospitals, clinics, outpatient care centers and specialized care centers) provides useful information to identify key strengths and weaknesses that need to be addressed. For large facilities, it is recommended to use the Infection Prevention and Control Assessment Framework at the facility level (IPCAF, available online: https://www.who.int/infection-prevention/tools/core-components/IPCAF-facility.PDF) or other tools recommended by the Ministry of Health. Small facilities can use simplified assessments, which should be discussed with the Ministry of Health. IFRC can provide technical guidance if required. 

Planning various assessments of each facility allows National Societies to assess progress over time. 
Only include the number of health facilities managed by the National Society as this indicator is related to National Society preparedness. Each facility is only counted once, even if several assessments are conducted in the same facility over time.",,,,,,,,,
"# displaced persons, migrants and host communities  in vulnerable situations who receive appropriate humanitarian assistance and protection services ","Appropriate humanitarian assistance and protection services may include food and non-food items, emergency shelter, water and sanitation, psychosocial support, information, specialized protection services, including Restoring Family Links, and and/or referrals (e.g., mental health, child support, anti-trafficking, sexual and gender-based violence).",,,,,,,,,
"# Humanitarian Service Points (HSPs) providing assistance and/or protection services to displaced persons, migrants and host communities","A  Humanitarian Service Point (HSP) is a neutral space operated by the RCRC that provides essential assistance and protection services.  

HSPs can be mobile or they may be in fixed locations, including along migratory routes. 

Refer to the above list for assistance and protection services",,,,,,,,,
"# of displaced persons, migrants and host communities provided with social inclusion and cohesion activities","Social inclusion and cohesion activities include efforts aimed at reducing stigma, discrimination, and xenophobia such as educational activities that promote humanitarian values, cultural awareness, and language acquisition, as well as efforts to promote livelihoods. ",,,,,,,,,
"# National Societies with clear or strengthened auxiliary role in situations of migration and displacement, including through laws, policies, MOUs and specific agreements","A clear auxiliary role in situations of migration or displacement may be reflected in laws, policies, MOUs or specific agreements, while a strengthened auxiliary role may include new or revised laws, policies, MOUs or agreements with relevant authorities addressing the scope of migration or displacement activities or operationally carrying out new migration activities.   ",,,,,,,,,
% CVA expenditure compared to in-kind assistance,This indicator refers to proportion of total expenditure on Cash and Voucher Assistance compared to expenditure on in-kind assistance. Both figures must be submitted in same currency.,,,,,,,,,
# of people supported with CVA,"Number of people who have been reached with all types of  cash and voucher assistance to address basic needs (meet the survival minimum expenditure basket, including food and non-food items) or restore, support and protect livelihoods.",,,,,,,,,
% people that at PDM report they are able to meet the basic needs of their household according to their priorities and report satisfaction with the overall CVA program,This indicator refers to the people who have reported their satisfaction of the CVA program through different means such as Post Distribution Monitoring report.,,,,,,,,,
"# of Red Cross Red Crescent cash programmes providing ""cash-plus"" assistance to affected populations",Cash plus refers to in-kind or other services that have been provided to accompany the cash such as shelter/shelter training support that is seen to accompany the cash but is not necessarily cash or vouchers.,,,,,,,,,
"# of  NS that are able to deliver scalable, timely and accountable CVA with limited external support, i.e. having basic systems, structures, processes and resources to implement CVA are in place (corresponding to an IFRC level 2 or above).","Scalable, timely and accountable cash and voucher assistance (CVA) with limited external support refers to having basic systems, structures, processes and resources to implement CVA. (corresponding to an IFRC level 2 or above)",,,,,,,,,
% of surveyed affected people who believe their views are taken into account in decisions made around the support they receive (disaggregated by sex and age),"This indicator refers to individuals who (1) have received services from the RCRC in the reporting period and (2) who feel they were able to have a say in the support they receive.  A baseline perception survey should be conducted among communities targeted by the programme, and follow-up survey should be conducted periodically. Take the average those responding in surveys in the affirmative (“Completely yes”,”Mostly yes”) to any of the questions:
•	Did you feel consulted on your priorities and needs before you received humanitarian assistance?
•	Do you know how to make suggestions or complaints to the Red Cross / Red Crescent?
•	If you have reported a problem or made a suggestion, was it acted upon?
•	Has the aid or humanitarian services you received met your most important needs?
o	Completely yes
o	Mostly yes
o	Neutral
o	Not very much
o	Not at all
o	Don’t know
o	Prefer not to answer
Take the average if you conducted multiple surveys during the reporting period.",,,,,,,,,
"% of surveyed affected people (disaggregated by sex, age and diversity) reporting that humanitarian assistance is delivered in a safe, accessible, accountable and participatory manner. ","This indicator refers to individuals who are (1) targeted by RCRC services and (2) feel that they can access these services safely, (3) that services meet their needs and that (4) they trust the RCRC acts in their best interest. A baseline perception survey should be conducted among communities targeted by the programme and should be conducted periodically. Take the average those responding in surveys in the affirmative (“Completely yes”,”Mostly yes”) to the following questions:

•	Do you trust the Red Cross / Red Crescent has your best interests at heart?
•	Do you feel respected by Red Cross / Red Crescent staff and volunteers?
•	Do you feel comfortable reporting instances of abuse or mistreatment by Red Cross / Red Crescent staff or volunteers?
•	Do you feel the that aid or humanitarian services provided by the Red Cross / Red Crescent go to those most in need? (If not, who is being left out?)
•	Have the services you received met your most important needs? (What needs remain unmet?)

o	Completely yes
o	Mostly yes
o	Neutral
o	Not very much
o	Not at all
o	Don’t know
oPrefer not to answer
Take the average if you conducted multiple surveys during the reporting period.",,,,,,,,,
% of people surveyed who report receiving useful and actionable information through different trusted channels (disaggregated into digital and non-digital channels),"This indicator refers to individuals who have (1) received information from the RCRC in the reporting period through a communication channel AND (2) who trust the information from that communication channel. Both of these conditions should be met for a person to be counted as having received information through a communication channel they trust. Communication channels may include health-care workers, family, friends, community leaders, newspapers, radio, TV and online sources including social media and/or messaging apps, etc. 
Recommend to adopt the information and trust question blocks included below this table to match up channels/actors with trust levels and the quality of information received.
•	Do you have enough information to access the aid and services you need?
•	What information do you need to access services?
•	How do you usually access information about available services?
•	What is/are your preferred channel(s) to receive information from the RCRC?
•	Who do you refer to the most to get trustworthy/reliable information?
•	How useful is the information you received about X?

Take the average if you conducted multiple surveys during the reporting period.",,,,,,,,,
# of countries where National Societies contribute to national coordination mechanisms and national plan for risk communication and community engagement,"National coordination refers to government-led or inter-agency led coordination group or fora where partners coordinate community engagement actions. Having a coordination mechanism in place helps to ensure that response organizations, governments and partners synchronize strategy and plans, address gaps and that recommendations and guidance are consistent and timely and can be adapted for diverse realities and population needs. The coordination mechanism should include representatives from government, multisectoral entities, Red Cross and Red Crescent and civil society, and/or non-governmental organizations and local associations. To be considered active the coordination group should have met at least once during the last quarter.
 
To contribute, NS must be regular participants, co-lead areas of work and contribute to developing guidance, tool, coordinated plans and strategies.  ",,,,,,,,,
"# of National Societies adopting national community engagement/accountability strategies, policies or frameworks","A national community engagement/accountability strategy or workplan should include activities, timelines, responsibilities, indicators, and budget, to implement the Movement Commitments on CEA across all programmes. If needed, please refer to the CEA guide, specifically the templates for a CEA strategy or workplan.  
CEA guide: https://communityengagementhub.org/wp-content/uploads/sites/2/2019/06/20211020_CEAGuidelines_NEW1.pdf
CEA strategy: https://communityengagementhub.org/wp-content/uploads/sites/2/2020/03/TOOL-4.-Template-CEA-Strategy.docx
workplan: https://communityengagementhub.org/wp-content/uploads/sites/2/2020/03/TOOL-5.-Template-CEA-Workplan.docx",,,,,,,,,
# of NS submitting an annual externally audited financial statement to the IFRC,,,,,,,,,,
# of NSs that have a PSEA policy to enforce prevention and support survivors (cumulative) PBR,,,,,,,,,,
# of NSs that have a PSEA Action Plan to enforce prevention and support survivors (cumulative) PBR,,,,,,,,,,
# of National Societies with accountability/feedback mechanisms across programmes and services PBR,,,,,,,,,,
# of IFRC surge staff deployed in operations with focus on CEA,,,,,,,,,,
Integrity Line (Hotline and Case Management System) is established.,,,,,,,,,,
Number of Fraud and investigation specialists on surge roster,,,,,,,,,,
Number of NS supported in the development of a PSEA policy PBR,,,,,,,,,,
"The IFRC Senior Management commit to implementing, in full, ""The IFRC Safeguarding Plan 2022-2025""",,,,,,,,,,
"% of IFRC-supported operations applying the minimum standards for protection, gender and inclusion in emergencies PBR",,,,,,,,,,
"# of people reached by protection, gender and inclusion   programming  ",,,,,,,,,,
% of large-scale emergencies use a single planning and reporting framework  ,,,,,,,,,,
# of National Societies with revised statutes according to Guidance for National Society Statutes,,,,,,,,,,
# NSs that have received financial support to their development priorities by the reengineered IFRC Capacity Building Fund (CBF) ,,,,,,,,,,
# National Societies engaged in structured preparedness and capacity building processes PBR,,,,,,,,,,
"# of National Societies where a Federation-wide approach is used for planning, monitoring and reporting the impact of the IFRC network. ",,,,,,,,,,
# of community health workforce (CHW) members (including community health workers and volunteers) recruited over 5 years ,,,,,,,,,,
% AU member with improved health outcomes at the population level," --- % reductions in maternal mortality rate, 
 --- % reductions in neonatal mortality rate, 
 --- % Under-5 mortality rate (per 1000 live births)",,,,,,,,,
"% of primary health care unit with a CHW network
 ",,,,,,,,,,
% of AU member state with an agreed operational plan for programme implementation,,,,,,,,,,
# of AU member state implementing adopted CHW tools,,,,,,,,,,
# of CHW members trained ,,,,,,,,,,
# of CHW members deployed during public health emergenicies ,,,,,,,,,,
# of AU member state with CBS and RDTs deployment by the CHW captured in national epidemic and pandemic preparedness plan,,,,,,,,,,
% of households who express satisfaction with services they received from CHW in the last three months ,,,,,,,,,,
% of CHWS members who correctly use the provided tools and equipment,,,,,,,,,,
% individuals who report they trust the health information and services provided by the CHW.,,,,,,,,,,
% of surveyed people who believe their views are taken into account in decisions made around community health services,,,,,,,,,,
% of households provided with community health services by a CHW in the last three months ,,,,,,,,,,
% of individuals referred by CHW to the health facility per 100 individuals seen by CHW,,,,,,,,,,
"# of CHW members per 100,000 people (avg. per year)",,,,,,,,,,
% of AU member states with community health or health workforce strategies integrating NS,,,,,,,,,,
# of AU member states with community health strategies integrating CHW members,,,,,,,,,,
"# of learning events organised at national, regional or continental level",,,,,,,,,,
"# of produced CHW-related documents at country, regional or continental level",,,,,,,,,,
% of active CHW members on government payroll,,,,,,,,,,
# of AU member state with costed plans for CHW operational sustainability,,,,,,,,,,
"Number of people on the move along migration routes who are provided with humanitarian services (assistance, protection, or both) ","People on the move are migrants, refugees, asylum seekers and other displaced people. 

For this question, please provide data on the number of people on the move transiting or moving along migration routes (within and between countries of origin, transit, and destination) who were provided with humanitarian services. 

Please do not include data on the number of refugees, asylum seekers, or internally displaced people living longer-term in camps or settlements who were provided with humanitarian services.",,,,,,,,,
"Number of people on the move along migration routes who are provided with humanitarian services (assistance, protection, or both) through Humanitarian Service Points (HSPs)","An HSP is operated by a Red Cross Red Crescent National Society and is a safe, neutral, and welcoming physical space that provides context-specific humanitarian services (assistance, protection, or both) to people on the move, irrespective of their status. 

HSPs can be accessed without fear of interference from government authorities.
 
There is no one size-fits-all model of operation. HSP may be a fixed or mobile structure, and can include local branches, gazebos, tents, kiosks, information desks or equipped buses or vans that provide humanitarian services.",,,,,,,,,
"Number of people in host communities along migration routes who are provided with humanitarian services (assistance, protection, or both)","People in host communities are—in general—the citizens or residents of the country.

Some of them live along migration routes and may need humanitarian services. 

Please provide data on the number of people in host communities that live along migration routes who were provided with humanitarian services for social cohesion, inclusion, or other related purposes. 

Data on people reached in host communities do not include the people on the move reached, as indicated in indicator 1.",,,,,,,,,
"Number of HSPs that provide humanitarian services (assistance, protection, or both) to people on the move along migration routes","An HSP is operated by a Red Cross Red Crescent National Society and is a safe, neutral, and welcoming physical space that provides context-specific humanitarian services (assistance, protection, or both) to people on the move, irrespective of their status. 

HSPs can be accessed without fear of interference from government authorities.

There is no one size-fits-all model of operation. HSP may be a fixed or mobile structure, and can include local branches, gazebos, tents, kiosks, information desks or equipped buses or vans that provide humanitarian services.",,,,,,,,,
Number of staff and volunteers trained on assisting or protecting people on the move along migration routes ,"Training may cover different topics on migration and displacement or themes such as HSPs, PGI, CEA, advocacy and HD, IM etc., as they relate to migration and displacement contexts.",,,,,,,,,
"Number of National Societies that have undertaken any advocacy, dialogues, awareness raising, communication, or other initiatives to change the legal, policy, practice or operational environment to better assist and protect people on the move along migration routes","Such efforts might be aimed at:
•	addressing barriers that discriminate or restrict assistance or protection to people on the move. These barriers may be due to discriminatory laws or policies, due to impractical documentation requirements, language barriers, fear of arrest and deportation, or other reasons. 
•	obtaining access to locations along migration routes that were previously inaccessible. For example, the National Society may be prohibited from or unable to access border areas along which migrants travel. 
•	reducing stigma, discrimination, xenophobia, and tensions. For example, people in host communities may be resistent to migrants travelling along routes that traverse their communities, or may be resistent to humanitarian actors supporting migrants. ",,,,,,,,,
"Number of National Societies that have undertaken any coordination, collaboration or cooperative activities to better assist and protect people on the move along migration routes","Such efforts might include: 
•	new or strengthened cross-border initiatives or activities with Federation (or Movement) actors. Such initatives may relate to information sharing, joined up activities, joint advocacy, peer-exchanges, etc.
•	new or strengthened within country initiatives or activities with Federation (or Movement) actors. Such initatives may relate to information sharing between branches or between headquarters and branches, lessons learned initatives between branches located along migration routes, national level advocacy drawing on evidence from multiple branches along migration routes etc.
•	new or strengthened engagement in relevant government or inter-agency coordination mechanisms. Examples include participating in government coordination mechanisms or inter-agency working groups related to people on the move or humanitarian assistance to such populations. 
•	new or strengthened partnerships with non-Movement actors. Such actors may include UNHCR, IOM, and other intergovernmental or civil society working with people on the move. ",,,,,,,,,
"Number of National Societies that have undertaken research, analysis or other information management initiatives to better assist and protect people on the move along migration routes","Such efforts might include:
•	new or strengthened information management practices or evidence-based research. Examples include developing a dashboard to track and predict migration flows or undertaking research to better understand the humanitarian needs of people on the move along applicable routes. 
•	use of modern technologies or innovations that strengthen opportunities to assist and protect people on the move. ",,,,,,,,,
% of individuals who will get a COVID-19 vaccine if it is available to them ,"Total of respondents (15+) who report to get vaccinated once a vaccine is available and recommended. Inputs can come from reliable secondary source (government, RCCE CS, I/NGO) or primary source from RCRC survey with community members, depending on geographic scope of the project in the country.  ",,,,,,,,,
% of surveyed affected people who believe their views are taken into account in decisions made around the support they receive ,"his indicator refers to individuals who (1) have received services from the RCRC in the reporting period and (2) who feel they were able to have a say in the support they receive.  A baseline perception survey should be conducted among communities targeted by the programme, and follow-up survey should be conducted periodically. Take the average those responding in surveys in the affirmative (“Completely yes”, “Mostly yes”) to any of the questions: 
• Did you feel consulted on your priorities and needs before you received humanitarian assistance? 
• Do you know how to make suggestions or complaints to the Red Cross / Red Crescent? 
• If you have reported a problem or made a suggestion, was it acted upon? 
• Has the aid or humanitarian services you received met your most important needs? 
o Completely yes 
o Mostly yes 
o Neutral 
o Not very much 
o Not at all 
o Don’t know 
o Prefer not to answer 
Take the average if you conducted multiple surveys during the reporting period.",,,,,,,,,
% of people surveyed who report receiving useful and actionable information ,This indicator measures whether individuals are satisfied with the information content they have received on COVID-19. The indicator measures content that has been received from all information channels in the last quarter. ,,,,,,,,,
% of individuals who trust humanitarian actors leading the COVID-19 response ,"""Increase of trust due to community engagement efforts undertaken by authorities (national, local and sub-national government entities) and partners (e.g. local / international NGOs",,,,,,,,,
